,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
1792,11680,1289,1,4166633,역삼로14길,37.49379703654389,127.03517358224708,1360
1793,11680,1290,0,4166633,역삼로14길,37.49358184486103,127.0356340226228,840
1794,11680,1290,1,4166633,역삼로14길,37.49348107819847,127.03531656439785,1120
1795,11680,1291,0,4166633,역삼로14길,37.4934051164475,127.03571823114207,560
1796,11680,1291,1,4166633,역삼로14길,37.493305358978255,127.03540129416962,840
1797,11680,1292,0,4166192,논현로71길,37.49407866384345,127.03594890437981,800
1798,11680,1292,1,4166192,논현로71길,37.49365850525052,127.03614900858028,840
1799,11680,1293,0,4166639,역삼로20길,37.4942312974937,127.03800584313612,1920
1800,11680,1293,1,4166639,역삼로20길,37.49432543435661,127.03832398337522,840
1801,11680,1294,0,4166639,역삼로20길,37.49409269200713,127.03816662040285,1080
1802,11680,1294,1,4166639,역삼로20길,37.49416856778056,127.03841879174573,560
1803,11680,1295,0,4166188,논현로67길,37.49353304204185,127.0371754474259,1120
1804,11680,1295,1,4166188,논현로67길,37.49378015027737,127.03705564428304,1080
1805,11680,1317,0,4166721,테헤란로19길,37.50221603117871,127.03296239660664,520
1806,11680,1317,1,4166721,테헤란로19길,37.502241165066906,127.03284167004163,800
1807,11680,1317,2,4166721,테헤란로19길,37.50219477349624,127.03256545735262,1360
1808,11680,1317,3,4166721,테헤란로19길,37.50235529150732,127.032477176151,1360
1809,11680,1317,4,4166721,테헤란로19길,37.502256214210576,127.03214500635264,1120
1810,11680,1329,0,4166347,봉은사로30길,37.50704442417942,127.0352217711474,800
1811,11680,1329,1,4166347,봉은사로30길,37.5072341138624,127.03583841895819,840
1812,11680,1329,2,4166347,봉은사로30길,37.50706062032175,127.03592253068851,1120
1813,11680,1330,0,4166562,언주로107길,37.50741987669665,127.037103288775,280
1814,11680,1330,1,4166562,언주로107길,37.50705883096607,127.03727558258984,840
1815,11680,1330,2,4166562,언주로107길,37.506961708975375,127.03698818512864,980
1816,11680,1331,0,4166209,논현로98길,37.50360114570362,127.03611807757562,490
1817,11680,1331,1,4166209,논현로98길,37.503017836119106,127.03640514442102,840
1818,11680,1331,2,4166209,논현로98길,37.50314047028114,127.03680191063684,560
